id,question,answer,generated_answer
0,Was Abraham Lincoln the sixteenth President of the United States?,yes,Yes.
2,Did Lincoln sign the National Banking Act of 1863?,yes,Yes.
4,Did his mother die of pneumonia?,no,Yes.
6,How many long was Lincoln's formal education?,18 months,Long.
8,When did Lincoln begin his political career?,1832,1832.
10,What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history",Legal tender.
12,Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,No one.
14,When did the Gettysburg address argue that America was born?,1776,1863
16,Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,Yes.
18,Was Abraham Lincoln the first President of the United States?,No,No.
20,Did Lincoln start his political career in 1832?,Yes,Yes.
22,Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,No.
24,Which county was Lincoln born in?,Hardin County,Hodgenville.
26,When did Lincoln first serve as President?,"March 4, 1861",Elected.
28,Who assassinated Lincoln?,John Wilkes Booth,John Wilkes Booth.
30,Did Lincoln win the election of 1860?,Yes,Yes.
32,Who was the general in charge at the Battle of Antietam?,General McClellan,McClellan
34,Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,Freedom.
37,Do scholars rank lincoln among the top three presidents?,Yes,Yes.
39,Did lincoln have 18 months of schooling?,Yes,No.
41,Was Lincoln chosen as a presidential candidate in 1860?,Yes,Yes.
43,How old was Lincoln in 1816?,seven,16
45,When was the first photgraph of lincoln taken?,1846,1861
47,How long was Lincoln's legal Career?,23 years,22
49,What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",Road
51,Did Abraham Lincoln live in the Frontier?,Yes,No.
53,Did Lincoln's Wife's Family support slavery?,Yes,No.
80,Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,Dalton.
83,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,Thomas.
86,When did he publish another memoria?,1821,Never.
89,When did he become a professor?,1820,Unknown.
92,Is it true that he became a professor in 1820?,yes,No.
95,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,Yes.
98,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,No.
101,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,Yes.
115,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,No.
118,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,Yes.
123,Did the scientific community not reserve great attention to his theory ?,yes,No.
131,Can the title of this famous 1811 paper be roughly translated into english?,yes,Yes.
136,What happened in 1833?,Avogadro had been recalled to Turin university,Revolution.
139,Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Boyle.
140,What is named after him?,The Celsius crater on the Moon,Legacy.
141,When did he publish a collection?,1733,Unknown.
142,Is it true that he published a collection in 1738?,No,No.
143,Is it true that thermometer had 100 for the freezing point?,Yes,No.
144,Was Celsius born in Uppsala in Sweden?,Yes,No.
145,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,Yes.
146,Is The Celsius crater on the Moon named after him?,Yes,No.
147,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Kelvin.
148,The Celsius crater on the Moon is what?,named after him,Impact.
149,Is the Celsius crater on the Moon named after him ?,Yes,No.
